,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
rm_1_meet_many,-0.12213227762381774,-0.5545496030179331,0.0015310131699400307,0.18754553558690099,-0.019612279848324147,0.152602528293689,-0.057756314470941116,-0.028379331884665487,-0.5463968937212358,-0.5027123632173596,-0.01311461250901644,-0.2512531442035014
rm_2_talk_strangers,-0.2261524430566625,-0.3801457873927955,0.06271657344352301,-0.4518867200143613,-0.1896745457863273,0.18878446136677426,0.08278330242310133,-0.4964642920385969,0.3717344987445769,0.07918881995566439,-0.3117927863040074,-0.1720210846403941
rm_3_choose_partners,0.12106519219785127,-0.26866316871148954,0.1312247249596431,-0.4934497458313169,0.6625065337118607,-0.06215299942552553,0.06373171432044496,0.276120019532974,-0.15584191231550817,0.06327726711534179,-0.19173841490354973,0.2536030517387349
rm_4_few_friends_rev,0.28126361823351703,0.060575897846808884,-0.5093292523676417,-0.2527025533465231,-0.1865460868681723,-0.36952948199624486,0.1927591241878302,0.11886340066780987,0.17017834354393385,-0.5485438169981477,-0.20342176576410817,0.008306548136972106
rm_5_uncommon_talk_rev,0.3339244459844855,0.12736235412328695,-0.3101887387833705,0.29822250436741815,0.3093134792519345,0.20397050050589977,0.42498970221370946,-0.3779230103001535,-0.19960891983655424,0.21970486805394626,-0.33270328400212196,-0.16611234755619259
rm_6_leave_for_better,-0.1707412989136881,-0.22250353784396681,-0.6069136139360317,-0.08669420730081967,-0.252067044304448,0.10627761068041618,-0.16176381563752013,0.37006609689840464,-0.19110141916949636,0.5092144214364208,-0.1075110029715474,-0.012357001450694027
rm_7_cannot_choose_rev,0.36859019922681513,0.07617119160577272,0.13795420494094263,-0.10851548212064992,-0.18338992660092318,0.7596012249331349,0.09353701977716065,0.3953437509811581,0.1575642661208183,-0.15249823530612355,-0.0295009020522901,-0.05392575937063806
rm_8_easy_to_meet,-0.3241959889863765,-0.21708181586588912,0.1943435893726414,0.41696737868236355,-0.07972403450173023,-0.11971682202827116,0.5267656565403461,0.36545796961547494,0.24557873350079434,0.012233933995103906,-0.33442125422485974,0.1792078065939695
rm_9_stay_in_group_rev,0.32972519964082836,-0.27309401614140144,0.00798793481140667,0.36160258333652323,0.19925642501067187,-0.1198828227399402,-0.5616330017099846,0.09123278748713178,0.4198568768155143,0.03313506374920758,-0.28562080638361365,-0.22157092989523755
rm_10_choose_groups,-0.30127851968756925,-0.11208977630760429,-0.4419786143939796,0.14221984229188572,0.41925994876543027,0.3018872140011126,0.025969840962430237,-0.0737366780847073,0.39060671748367304,-0.2063418955839286,0.41968010878789624,0.19180003185490174
rm_11_must_stay_rel_rev,0.3444344928956065,-0.3907506361582244,0.05154145910996663,-0.04304390211809485,-0.04532334520664891,-0.22356325336519997,0.37034092593286505,0.0813774156797727,0.12843794343137188,0.2417768393502213,0.5713887331272046,-0.3562620835083268
rm_12_must_stay_group_rev,0.37474031133164887,-0.3370882709676339,0.0008155517532446137,0.1354554925601056,-0.27053268218161797,0.030733022583421775,-0.04816481001832593,-0.2689485401960066,-0.05628437679236983,0.054764875924611114,0.07290773806722221,0.7532091761725731
